mz,intensity
300,6.95617E+11
306.75,7.10353E+11
313.5,7.23756E+11
320.25,7.35833E+11
327,7.46599E+11
333.75,7.56067E+11
340.5,7.64251E+11
347.25,7.7117E+11
354,7.76842E+11
360.75,7.81288E+11
367.5,7.84528E+11
374.25,7.86582E+11
381,7.87463E+11
387.75,7.87184E+11
394.5,7.85754E+11
401.25,7.83174E+11
408,7.79444E+11
414.75,7.74553E+11
421.5,7.68478E+11
428.25,7.61174E+11
435,7.52559E+11
441.75,7.42493E+11
448.5,7.30756E+11
455.25,7.17088E+11
462,7.0148E+11
468.75,6.85502E+11
475.5,6.69756E+11
482.25,6.54493E+11
489,6.39789E+11
495.75,6.25583E+11
502.5,6.11804E+11
509.25,5.98424E+11
516,5.85406E+11
522.75,5.7275E+11
529.5,5.60572E+11
536.25,5.49048E+11
543,5.38328E+11
549.75,5.28407E+11
556.5,5.19174E+11
563.25,5.10499E+11
570,5.02158E+11
576.75,4.93933E+11
583.5,4.85582E+11
590.25,4.76948E+11
597,4.67925E+11
603.75,4.58454E+11
610.5,4.48445E+11
617.25,4.37852E+11
624,4.26679E+11
630.75,4.14929E+11
637.5,4.02604E+11
644.25,3.89781E+11
651,3.76581E+11
657.75,3.6315E+11
664.5,3.49652E+11
671.25,3.36285E+11
678,3.23233E+11
684.75,3.10653E+11
691.5,2.98616E+11
698.25,2.8713E+11
705,2.76193E+11
711.75,2.65845E+11
718.5,2.56114E+11
725.25,2.46959E+11
732,2.38266E+11
738.75,2.29923E+11
745.5,2.21878E+11
752.25,2.14155E+11
759,2.06803E+11
765.75,1.99964E+11
772.5,1.93774E+11
779.25,1.88273E+11
786,1.834E+11
792.75,1.79046E+11
799.5,1.75036E+11
806.25,1.7116E+11
813,1.67241E+11
819.75,1.63219E+11
826.5,1.59164E+11
833.25,1.55119E+11
840,1.51071E+11
846.75,1.47017E+11
853.5,1.42929E+11
860.25,1.38755E+11
867,1.34462E+11
873.75,1.30049E+11
880.5,1.25544E+11
887.25,1.21012E+11
894,1.16483E+11
900.75,1.11972E+11
907.5,1.075E+11
914.25,1.03091E+11
921,98733443071
927.75,94421750779
934.5,90175052196
941.25,86020037050
948,81973444903
954.75,78039408371
961.5,74189823323
968.25,70400766509
975,66694444486
981.75,63124786087
988.5,59741395614
995.25,56595164137
1002,53744535401
1008.75,51223191210
1015.5,49041743657
1022.25,47192624373
1029,45626449540
1035.75,44263965719
1042.5,43005099009
1049.25,41753067547
1056,40436610842
1062.75,39046926860
1069.5,37618448648
1076.25,36183607400
1083,34770350107
1089.75,33417140202
1096.5,32142724470
1103.25,30949555626
1110,29836258724
1116.75,28794891922
1123.5,27812396877
1130.25,26869462960
1137,25945404494
1143.75,25027785610
1150.5,24120656183
1157.25,23213519200
1164,22296487649
1170.75,21366312414
1177.5,20431070330
1184.25,19506004637
1191,18609015278
1197.75,17747285259
1204.5,16923791503
1211.25,16139002424
1218,15389628360
1224.75,14673633196
1231.5,13988704318
1238.25,13333532041
1245,12712119393
1251.75,12133669344
1258.5,11605364225
1265.25,11121937496
1272,10676105303
1278.75,10262746488
1285.5,9876649014
1292.25,9510787604
1299,9153157525
1305.75,8795269431
1312.5,8434150208
1319.25,8070466953
1326,7709174680
1332.75,7352912405
1339.5,6999666868
1346.25,6647631900
1353,6298786608
1359.75,5955291042
1366.5,5622475820
1373.25,5304985691
1380,5004398431
1386.75,4719594368
1393.5,4446958619
1400.25,4182838473
1407,3926511592
1413.75,3679977848
1420.5,3446199412
1427.25,3226811092
1434,3020972901
1440.75,2825952153
1447.5,2640827810
1454.25,2465456183
1461,2299856331
1467.75,2144104135
1474.5,1999315141
1481.25,1867609688
1488,1749686604
1494.75,1636978661
1501.5,1527807710
1508.25,1422357532
1515,1321150209
1521.75,1224639387
1528.5,1133158508
1535.25,1046948023
1542,966173664.4
1548.75,890947193.6
1555.5,821336051.4
1562.25,757354417.4
1569,698980893.2
1575.75,646174669.8
1582.5,598886426.3
1589.25,557060943.9
1596,520631687.1
1602.75,489528656.3
1609.5,463679029
1616.25,442999772.8
1623,427397606.2
1629.75,416767914.9
1636.5,411004209.9
1643.25,410005031.9
